 gene 	 metA1a 	 metA1b 	 metB1a 	 metB1b 	 metA10a 	 metA10b 	 metB10a 	 metB10b 	 mtrA1a 	 mtrA1b 	 mtrB1a 	 mtrB1b 	 mtrA10a 	 mtrA10b 	 mtrB10a 	 mtrB10b 
 ytvB 	 593.2414 	 642.069 	 412.5172 	 412.3448 	 596.2069 	 687.5172 	 765.8965 	 823,00   	 550.1035 	 468.6552 	 430.4483 	 427.2414 	 718.9655 	 745.8621 	 755,00   	 798.0345 
 yesX 	 1303.862 	 1406.241 	 961.9655 	 996.2759 	 1279.966 	 1267.276 	 1824.276 	 1912.724 	 1126.31 	 1 148,00   	 903.8965 	 972.069 	 1467.897 	 1656.414 	 1802.172 	 1833.345 
 lgt 	 769.9655 	 837.9655 	 755.4483 	 776.4138 	 1351.31 	 1260.931 	 1900.483 	 2041.862 	 716.6207 	 747.5517 	 763.6552 	 776.931 	 1794.448 	 1798.138 	 1849.621 	 1943.207 
 yqaE 	 827.7241 	 930.2414 	 547.6207 	 590.3793 	 811.3793 	 772,00   	 1213.31 	 1266.483 	 681.1379 	 643.4483 	 484.2758 	 553.2069 	 897.4828 	 1066.31 	 1226.241 	 1192.103 
 ykkD 	 1959.138 	 2136.966 	 1513.69 	 1493.241 	 1700.69 	 1705.966 	 2732.034 	 2798.069 	 1643.862 	 1568.207 	 1283.517 	 1327.172 	 2224.966 	 2418.793 	 2522.483 	 2593.379 
 ycbJ 	 598.4138 	 495.8965 	 436.5172 	 412.5172 	 974.9655 	 716.6896 	 909.4138 	 757.3104 	 475.1379 	 377.9655 	 386.5862 	 330.069 	 890.6552 	 828.5862 	 749.5517 	 603.4483 
 yjbQ 	 1729.69 	 1803.207 	 1287.31 	 1319.483 	 1660.759 	 1625.138 	 3366.793 	 3 304,00   	 1336.483 	 1259.862 	 1104.862 	 1153.172 	 2514.138 	 2596.552 	 3171.379 	 3115.862 
 ppsC 	 871.6896 	 877.8276 	 570.7241 	 590.4138 	 769.1379 	 836.2069 	 922.6896 	 893.4138 	 596.3448 	 546.3104 	 485.8276 	 525.5172 	 942.6896 	 980.6896 	 822.3793 	 837.3104 
 ytfD 	 466.3793 	 488.2414 	 301.5862 	 337.8621 	 521.7586 	 556.931 	 466.1724 	 482.2069 	 329.8965 	 425.5862 	 236.9655 	 244.0345 	 500.8276 	 484.1379 	 460.5172 	 491.8276 
 yoaS 	 335.6897 	 335.8965 	 285.7931 	 252.1379 	 375.7586 	 402.5172 	 417.0345 	 387.6897 	 311.0345 	 294.069 	 244.3103 	 226.5517 	 423.5862 	 393.2069 	 412.3103 	 353.0345 
